STA Awal,STA Akhir,Long,Lat,Segment
72200,72205,107.4661001,-6.438089681,Cikopo - Kalijati
72205,72210,107.4661434,-6.438102876,Cikopo - Kalijati
72210,72215,107.4661866,-6.438116071,Cikopo - Kalijati
72215,72220,107.4662298,-6.438129267,Cikopo - Kalijati
72220,72225,107.466273,-6.438142462,Cikopo - Kalijati
72225,72230,107.4663162,-6.438155657,Cikopo - Kalijati
72230,72235,107.4663594,-6.438168852,Cikopo - Kalijati
72235,72240,107.4664026,-6.438182048,Cikopo - Kalijati
72240,72245,107.4664458,-6.438195243,Cikopo - Kalijati
72245,72250,107.466489,-6.438208438,Cikopo - Kalijati
72250,72255,107.4665322,-6.438221633,Cikopo - Kalijati
72255,72260,107.4665754,-6.438234828,Cikopo - Kalijati
72260,72265,107.4666186,-6.438248024,Cikopo - Kalijati
72265,72270,107.4666618,-6.438261219,Cikopo - Kalijati
72270,72275,107.466705,-6.438274414,Cikopo - Kalijati
72275,72280,107.4667482,-6.438287609,Cikopo - Kalijati
72280,72285,107.4667914,-6.438300804,Cikopo - Kalijati
72285,72290,107.4668347,-6.438314,Cikopo - Kalijati
72290,72295,107.4668779,-6.438327195,Cikopo - Kalijati
72295,72300,107.4669211,-6.43834039,Cikopo - Kalijati
72300,72305,107.4669643,-6.438353585,Cikopo - Kalijati
72305,72310,107.4670075,-6.43836678,Cikopo - Kalijati
72310,72315,107.4670507,-6.438379976,Cikopo - Kalijati
72315,72320,107.4670939,-6.438393171,Cikopo - Kalijati
72320,72325,107.4671371,-6.438406366,Cikopo - Kalijati
72325,72330,107.4671803,-6.438419561,Cikopo - Kalijati
72330,72335,107.4672235,-6.438432756,Cikopo - Kalijati
72335,72340,107.4672667,-6.438445951,Cikopo - Kalijati
72340,72345,107.4673099,-6.438459146,Cikopo - Kalijati
72345,72350,107.4673531,-6.438472342,Cikopo - Kalijati
72350,72355,107.4673963,-6.438485537,Cikopo - Kalijati
72355,72360,107.4674395,-6.438498732,Cikopo - Kalijati
72360,72365,107.4674828,-6.438511927,Cikopo - Kalijati
72365,72370,107.467526,-6.438525122,Cikopo - Kalijati
72370,72375,107.4675692,-6.438538317,Cikopo - Kalijati
72375,72380,107.4676124,-6.438551512,Cikopo - Kalijati
72380,72385,107.4676556,-6.438564707,Cikopo - Kalijati
72385,72390,107.4676988,-6.438577902,Cikopo - Kalijati
72390,72395,107.467742,-6.438591098,Cikopo - Kalijati
72395,72400,107.4677852,-6.438604293,Cikopo - Kalijati
72400,72405,107.4678284,-6.438617488,Cikopo - Kalijati
72405,72410,107.4678716,-6.438630722,Cikopo - Kalijati
72410,72415,107.4679148,-6.438643956,Cikopo - Kalijati
72415,72420,107.467958,-6.43865719,Cikopo - Kalijati
72420,72425,107.4680012,-6.438670424,Cikopo - Kalijati
72425,72430,107.4680444,-6.438683658,Cikopo - Kalijati
72430,72435,107.4680876,-6.438696891,Cikopo - Kalijati
72435,72440,107.4681308,-6.438710125,Cikopo - Kalijati
72440,72445,107.468174,-6.438723359,Cikopo - Kalijati
72445,72450,107.4682172,-6.438736593,Cikopo - Kalijati
72450,72455,107.4682604,-6.438749827,Cikopo - Kalijati
72455,72460,107.4683035,-6.438763061,Cikopo - Kalijati
72460,72465,107.4683467,-6.438776295,Cikopo - Kalijati
72465,72470,107.4683899,-6.438789529,Cikopo - Kalijati
72470,72475,107.4684331,-6.438802763,Cikopo - Kalijati
72475,72480,107.4684763,-6.438815997,Cikopo - Kalijati
72480,72485,107.4685195,-6.438829231,Cikopo - Kalijati
72485,72490,107.4685627,-6.438842465,Cikopo - Kalijati
72490,72495,107.4686059,-6.438855698,Cikopo - Kalijati
72495,72500,107.4686491,-6.438868932,Cikopo - Kalijati
72500,72505,107.4686923,-6.438882166,Cikopo - Kalijati
72505,72510,107.4687355,-6.4388954,Cikopo - Kalijati
72510,72515,107.4687787,-6.438908634,Cikopo - Kalijati
72515,72520,107.4688219,-6.438921868,Cikopo - Kalijati
72520,72525,107.4688651,-6.438935102,Cikopo - Kalijati
72525,72530,107.4689083,-6.438948336,Cikopo - Kalijati
72530,72535,107.4689515,-6.438961569,Cikopo - Kalijati
72535,72540,107.4689947,-6.438974803,Cikopo - Kalijati
72540,72545,107.4690379,-6.438988037,Cikopo - Kalijati
72545,72550,107.4690811,-6.439001271,Cikopo - Kalijati
72550,72555,107.4691242,-6.439014505,Cikopo - Kalijati
72555,72560,107.4691674,-6.439027739,Cikopo - Kalijati
72560,72565,107.4692106,-6.439040972,Cikopo - Kalijati
72565,72570,107.4692538,-6.439054206,Cikopo - Kalijati
72570,72575,107.469297,-6.43906744,Cikopo - Kalijati
72575,72580,107.4693402,-6.439080674,Cikopo - Kalijati
72580,72585,107.4693834,-6.439093908,Cikopo - Kalijati
72585,72590,107.4694266,-6.439107142,Cikopo - Kalijati
72590,72595,107.4694698,-6.439120375,Cikopo - Kalijati
72595,72600,107.469513,-6.439133609,Cikopo - Kalijati
72600,72605,107.4695562,-6.439146843,Cikopo - Kalijati
72605,72610,107.4695994,-6.439160019,Cikopo - Kalijati
72610,72615,107.4696426,-6.439173196,Cikopo - Kalijati
72615,72620,107.4696858,-6.439186372,Cikopo - Kalijati
72620,72625,107.469729,-6.439199548,Cikopo - Kalijati
72625,72630,107.4697723,-6.439212724,Cikopo - Kalijati
72630,72635,107.4698155,-6.439225901,Cikopo - Kalijati
72635,72640,107.4698587,-6.439239077,Cikopo - Kalijati
72640,72645,107.4699019,-6.439252253,Cikopo - Kalijati
72645,72650,107.4699451,-6.43926543,Cikopo - Kalijati
72650,72655,107.4699883,-6.439278606,Cikopo - Kalijati
72655,72660,107.4700315,-6.439291782,Cikopo - Kalijati
72660,72665,107.4700747,-6.439304958,Cikopo - Kalijati
72665,72670,107.470118,-6.439318135,Cikopo - Kalijati
72670,72675,107.4701612,-6.439331311,Cikopo - Kalijati
72675,72680,107.4702044,-6.439344487,Cikopo - Kalijati
72680,72685,107.4702476,-6.439357663,Cikopo - Kalijati
72685,72690,107.4702908,-6.43937084,Cikopo - Kalijati
72690,72695,107.470334,-6.439384016,Cikopo - Kalijati
72695,72700,107.4703772,-6.439397192,Cikopo - Kalijati
72700,72705,107.4704204,-6.439410368,Cikopo - Kalijati
72705,72710,107.4704637,-6.439423545,Cikopo - Kalijati
72710,72715,107.4705069,-6.439436721,Cikopo - Kalijati
72715,72720,107.4705501,-6.439449897,Cikopo - Kalijati
72720,72725,107.4705933,-6.439463073,Cikopo - Kalijati
72725,72730,107.4706365,-6.439476249,Cikopo - Kalijati
72730,72735,107.4706797,-6.439489426,Cikopo - Kalijati
72735,72740,107.4707229,-6.439502602,Cikopo - Kalijati
72740,72745,107.4707661,-6.439515778,Cikopo - Kalijati
72745,72750,107.4708094,-6.439528954,Cikopo - Kalijati
72750,72755,107.4708526,-6.43954213,Cikopo - Kalijati
72755,72760,107.4708958,-6.439555306,Cikopo - Kalijati
72760,72765,107.470939,-6.439568483,Cikopo - Kalijati
72765,72770,107.4709822,-6.439581659,Cikopo - Kalijati
72770,72775,107.4710254,-6.439594835,Cikopo - Kalijati
72775,72780,107.4710686,-6.439608011,Cikopo - Kalijati
72780,72785,107.4711118,-6.439621187,Cikopo - Kalijati
72785,72790,107.4711551,-6.439634363,Cikopo - Kalijati
72790,72795,107.4711983,-6.43964754,Cikopo - Kalijati
72795,72800,107.4712415,-6.439660716,Cikopo - Kalijati
72800,72805,107.4712847,-6.439673892,Cikopo - Kalijati
72805,72810,107.4713279,-6.439687086,Cikopo - Kalijati
72810,72815,107.4713711,-6.439700281,Cikopo - Kalijati
72815,72820,107.4714143,-6.439713475,Cikopo - Kalijati
72820,72825,107.4714575,-6.43972667,Cikopo - Kalijati
72825,72830,107.4715007,-6.439739864,Cikopo - Kalijati
72830,72835,107.4715439,-6.439753059,Cikopo - Kalijati
72835,72840,107.4715871,-6.439766253,Cikopo - Kalijati
72840,72845,107.4716303,-6.439779448,Cikopo - Kalijati
72845,72850,107.4716735,-6.439792642,Cikopo - Kalijati
72850,72855,107.4717168,-6.439805837,Cikopo - Kalijati
72855,72860,107.47176,-6.439819031,Cikopo - Kalijati
72860,72865,107.4718032,-6.439832226,Cikopo - Kalijati
72865,72870,107.4718464,-6.43984542,Cikopo - Kalijati
72870,72875,107.4718896,-6.439858615,Cikopo - Kalijati
72875,72880,107.4719328,-6.439871809,Cikopo - Kalijati
72880,72885,107.471976,-6.439885003,Cikopo - Kalijati
72885,72890,107.4720192,-6.439898198,Cikopo - Kalijati
72890,72895,107.4720624,-6.439911392,Cikopo - Kalijati
72895,72900,107.4721056,-6.439924587,Cikopo - Kalijati
72900,72905,107.4721488,-6.439937781,Cikopo - Kalijati
72905,72910,107.472192,-6.439950976,Cikopo - Kalijati
72910,72915,107.4722352,-6.43996417,Cikopo - Kalijati
72915,72920,107.4722784,-6.439977364,Cikopo - Kalijati
72920,72925,107.4723217,-6.439990559,Cikopo - Kalijati
72925,72930,107.4723649,-6.440003753,Cikopo - Kalijati
72930,72935,107.4724081,-6.440016948,Cikopo - Kalijati
72935,72940,107.4724513,-6.440030142,Cikopo - Kalijati
72940,72945,107.4724945,-6.440043336,Cikopo - Kalijati
72945,72950,107.4725377,-6.440056531,Cikopo - Kalijati
72950,72955,107.4725809,-6.440069725,Cikopo - Kalijati
72955,72960,107.4726241,-6.44008292,Cikopo - Kalijati
72960,72965,107.4726673,-6.440096114,Cikopo - Kalijati
72965,72970,107.4727105,-6.440109308,Cikopo - Kalijati
72970,72975,107.4727537,-6.440122503,Cikopo - Kalijati
72975,72980,107.4727969,-6.440135697,Cikopo - Kalijati
72980,72985,107.4728401,-6.440148891,Cikopo - Kalijati
72985,72990,107.4728833,-6.440162086,Cikopo - Kalijati
72990,72995,107.4729265,-6.44017528,Cikopo - Kalijati
72995,73000,107.4729698,-6.440188474,Cikopo - Kalijati
73000,73005,107.473013,-6.440201669,Cikopo - Kalijati
73005,73010,107.4730562,-6.440214858,Cikopo - Kalijati
73010,73015,107.4730994,-6.440228047,Cikopo - Kalijati
73015,73020,107.4731426,-6.440241237,Cikopo - Kalijati
73020,73025,107.4731858,-6.440254426,Cikopo - Kalijati
73025,73030,107.473229,-6.440267615,Cikopo - Kalijati
73030,73035,107.4732722,-6.440280804,Cikopo - Kalijati
73035,73040,107.4733154,-6.440293994,Cikopo - Kalijati
73040,73045,107.4733586,-6.440307183,Cikopo - Kalijati
73045,73050,107.4734018,-6.440320372,Cikopo - Kalijati
73050,73055,107.473445,-6.440333561,Cikopo - Kalijati
73055,73060,107.4734883,-6.44034675,Cikopo - Kalijati
73060,73065,107.4735315,-6.44035994,Cikopo - Kalijati
73065,73070,107.4735747,-6.440373129,Cikopo - Kalijati
73070,73075,107.4736179,-6.440386318,Cikopo - Kalijati
73075,73080,107.4736611,-6.440399507,Cikopo - Kalijati
73080,73085,107.4737043,-6.440412696,Cikopo - Kalijati
73085,73090,107.4737475,-6.440425886,Cikopo - Kalijati
73090,73095,107.4737907,-6.440439075,Cikopo - Kalijati
73095,73100,107.4738339,-6.440452264,Cikopo - Kalijati
73100,73105,107.4738771,-6.440465453,Cikopo - Kalijati
73105,73110,107.4739203,-6.440478642,Cikopo - Kalijati
73110,73115,107.4739635,-6.440491832,Cikopo - Kalijati
73115,73120,107.4740068,-6.440505021,Cikopo - Kalijati
73120,73125,107.47405,-6.44051821,Cikopo - Kalijati
73125,73130,107.4740932,-6.440531399,Cikopo - Kalijati
73130,73135,107.4741364,-6.440544588,Cikopo - Kalijati
73135,73140,107.4741796,-6.440557777,Cikopo - Kalijati
73140,73145,107.4742228,-6.440570966,Cikopo - Kalijati
73145,73150,107.474266,-6.440584156,Cikopo - Kalijati
73150,73155,107.4743092,-6.440597345,Cikopo - Kalijati
73155,73160,107.4743524,-6.440610534,Cikopo - Kalijati
73160,73165,107.4743956,-6.440623723,Cikopo - Kalijati
73165,73170,107.4744388,-6.440636912,Cikopo - Kalijati
73170,73175,107.474482,-6.440650101,Cikopo - Kalijati
